artist,song_name,duration_ms,danceability,energy
Nicki Minaj & Ice Spice with Aqua,Barbie World,140663,0.012550422835973296,0.7769989196695666
BTS,Butter,298156,0.04077120438219306,0.9583715823142134
Gabby Barrett & Charlie Puth,I Hope,44315,0.592815750253366,0.44712662328715636
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,17816,0.5796443521632011,0.12300612929099353
Doja Cat & Nicki Minaj,Say So,113090,0.6194823421156145,0.595852100535253
Taylor Swift,Cruel Summer,97801,0.5631045229411257,0.1054323549776024
Elton John & Dua Lipa,Cold Heart,129682,0.6485433388617191,0.5582600273546641
Lost Frequencies & Calum Scott,Where Are You Now,2125,0.34555562100622905,0.9535846753768744
DJ Ti.sto & Ava Max,The Motto,17493,0.9003489866351444,0.3665398331934727
Coi Leray,Players,218073,0.3318232062351292,0.2594056304998803
Raye & 070 Shake,Escapism,176074,0.9303352484875405,0.34911771723058616
Billie Eilish,What Was I Made For?,239955,0.6265492350471963,0.8423284189521096
Ed Sheeran,Shivers,168670,0.5761533091337212,0.12510933580647476
BTS,Butter,22601,0.23970240423809253,0.7200169479954535
The Weeknd,Blinding Lights,190235,0.9054634000948711,0.5238259321847062
Nicki Minaj & Ice Spice with Aqua,Barbie World,231012,0.07786123619554441,0.3202251532721535
Lil Durk & J Cole,All My Life,225350,0.5306776316262626,0.5111596784817932
Lizzo,About Damn Time,158318,0.8565640159495344,0.5835890457603583
Toosii,Favorite Song,259338,0.49466951963520744,0.9107089890935287
Steve Lacy,Bad Habit,26897,0.5578375599140443,0.049657736058075774
The Weeknd & Ariana Grande,Die For You,229426,0.2850340992073994,0.932882648133629
Justin Bieber & Chance The Rapper,Holy,230083,0.6913986858243992,0.7718693222515984
Morgan Wallen,Thought You Should Know,256494,0.4304460637138914,0.6388474781607165
Oliver Tree & Robin Schulz,Miss You,84930,0.6065508450965158,0.17359846154149006
Drake & 21 Savage & Project Pat,Knife Talk,143059,0.8926436940398411,0.7222795620312987
Future & Drake & Tems,WAIT FOR U,46692,0.7056696125277103,0.8547348019145632
Tate McRae,You Broke Me First,298217,0.16244132953692914,0.8497137838949955
Harry Styles,Watermelon Sugar,142941,0.805713898867201,0.8656964901388249
SAINt JHN,Roses,143855,0.3018523364476282,0.0878383125203992
Post Malone,Chemical,155028,0.6993294950696096,0.7320118361090501
Dua Lipa & DaBaby,Levitating,172584,0.4838228906547395,0.24710458552023273
Pop Smoke & Lil Baby & DaBaby,For The Night,24841,0.726264465767989,0.443570483261719
The Weeknd,Take My Breath,137586,0.1092718334631444,0.16097870301156414
Future & Drake & Tems,WAIT FOR U,17395,0.8754102624977909,0.7943049444094946
Miguel,Sure Thing,20362,0.7132973414063675,0.5117093103176198
Nicki Minaj,Super Freaky Girl,257278,0.193099040229749,0.47190475573415036
Billie Eilish,Happier Than Ever,163758,0.8573256903727194,0.822142386893655
Bad Bunny,Titi me pregunto,181249,0.21358532000783237,0.5493373738156451
Gabby Barrett & Charlie Puth,I Hope,117988,0.7877465191025043,0.6998933430586606
The Weeknd & Ariana Grande,Die For You,136449,0.9940954728770321,0.36372083256065946
Maroon 5,Memories,14203,0.9686760790505918,0.03609593377271236
Miley Cyrus,Flowers,292811,0.054212326701352676,0.7963801165533689
Ariana Grande,Santa Tell Me,67059,0.2165858541144663,0.1378374311471725
Tate McRae,You Broke Me First,7235,0.8845064291106225,0.4851246425212211
Internet Money & Gunna & Don Toliver & NAV,Lemonade,3711,0.40543742403305216,0.010386853663215456
Ava Max,Kings & Queens,79632,0.246516094784605,0.9874169649593348
Rihanna,Lift Me Up,203190,0.11842961402778363,0.506325749375374
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,127318,0.2257712725311024,0.3013894548993523
Harry Styles,Adore You,267779,0.17150427924608647,0.848577663661154
Polo G,Rapstar,11497,0.49129087103904456,0.952411923598779
Rihanna,Lift Me Up,77880,0.46300409456143765,0.781840639048018
Andy Williams,It's The Most Wonderful Time Of The Year,250606,0.17395763379916795,0.4319328771873786
Andy Williams,It's The Most Wonderful Time Of The Year,60795,0.8354328488237237,0.41137161831490876
Doja Cat & The Weeknd,You Right,294783,0.4806012502110284,0.8873466661458235
Justin Bieber & Chance The Rapper,Holy,299478,0.08309363877157538,0.420513836088398
Drake & Lil Durk,Laugh Now Cry Later,47397,0.08493285473940326,0.24462359474759787
CJ,Whoopty,20689,0.8008166474280233,0.32138679515189494
The Weeknd & Ariana Grande,Die For You,127793,0.38797995303636046,0.786267665736173
Bobby Helms,Jingle Bell Rock,11868,0.007945704801212261,0.7643380048072564
Taylor Swift,Lavender Haze,229611,0.4461671721555537,0.2344769824109919
Polo G,Rapstar,43445,0.1593656729830183,0.7077103340926194
Post Malone & The Weeknd,One Right Now,534,0.5137493148533584,0.8852644844848879
Morgan Wallen,Wasted On You,112719,0.15434454388375496,0.3933641365414121
Eslabon Armado & Peso Pluma,Ella Baila Sola,285992,0.46052625770805555,0.16706316546309452
Morgan Wallen,Thinkin' Bout Me,234739,0.12375640390808329,0.2192552427387201
Olivia Rodrigo,Good 4 U,232723,0.5390356585088184,0.08971615532722277
Saweetie & Doja Cat,Best Friend,214085,0.7942039082054435,0.2709997645732839
Maroon 5,Memories,48031,0.5192021937875202,0.4820841108592484
Carolina Gaitan & Mauro Castillo & Adassa & Rhenzy Feliz & Diane Guerrero & Stephanie Beatriz,We Don't Talk About Bruno,195737,0.483497605346044,0.11091620628296606
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,26675,0.8490484473789299,0.7504181178293419
Luke Combs,Forever After All,131152,0.18115444891628896,0.9429098984823112
Jordan Davis & Luke Bryan,Buy Dirt,280386,0.9521463219175148,0.060186622669170964
Miley Cyrus,Flowers,228501,0.8959842741926791,0.8006628812002899
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),9382,0.5661229565180151,0.8520214481656314
Gayle,abcdefu,25229,0.018255372506744805,0.35224488660848685
Fireboy DML & Ed Sheeran,Peru,191856,0.10364560049815508,0.9563173799198857
Dua Lipa,Break My Heart,146962,0.5333284559901168,0.18440238337506276
Lil Tjay & 6LACK,Calling My Phone,117641,0.9453007626898466,0.7644404579943622
Maroon 5,Memories,14796,0.07326857140385168,0.920425517896259
Drake,Toosie Slide,299225,0.649326894525873,0.33884077571461124
The Weeknd,Take My Breath,76481,0.7458487801023983,0.028027889599810063
Ariana Grande,Positions,174881,0.6202147596204814,0.29158167968795967
Tate McRae,She's All I Wanna Be,1927,0.7875167742789533,0.44016409451246064
24kGoldn & Iann Dior,Mood,105903,0.09427782791992223,0.5076130933229551
Brenda Lee,Rockin' Around The Christmas Tree,201412,0.8161333337203086,0.2799296487017656
Miley Cyrus,Midnight Sky,6544,0.15679331616896175,0.1362521200549195
Post Malone,Circles,270286,0.1606063539378737,0.2860656851751361
