artist,track_name,ms_played
Nat King Cole,The Christmas Song (Merry Christmas To You),53735
Acraze & Cherish,Do It To It,113571
Bobby Helms,Jingle Bell Rock,75390
Camila Cabello & Ed Sheeran,Bam Bam,150116
The Ronettes,Sleigh Ride,293773
Rema,Calm Down,58149
Harry Styles,Adore You,73744
SAINt JHN,Roses,213459
The Kid LAROI & Justin Bieber,Stay,101817
The Weeknd & Ariana Grande,Die For You,178750
Tom Odell,Another Love,9398
Justin Bieber & Daniel Caesar & Giveon,Peaches,207116
DJ Ti.sto,The Business,37845
Coi Leray,Players,163406
JVKE,golden hour,90336
Doja Cat,Woman,120629
Miley Cyrus,Flowers,142169
The Kid LAROI & Justin Bieber,Stay,133510
The Weeknd & Ariana Grande,Die For You,249024
Fireboy DML & Ed Sheeran,Peru,155592
David Guetta & Bebe Rexha,I'm Good (Blue),182894
Cardi B,Up,281008
Tate McRae,She's All I Wanna Be,90555
Justin Bieber & Quavo,Intentions,63640
Coi Leray,Players,3756
Cole Swindell,She Had Me At Heads Carolina,43394
Dua Lipa & DaBaby,Levitating,137795
Drake & 21 Savage & Project Pat,Knife Talk,13348
Farruko,Pepas,43235
Olivia Rodrigo,Good 4 U,138353
Latto,Big Energy,207639
Harry Styles,Adore You,50256
Doja Cat,Need To Know,90030
Gabby Barrett & Charlie Puth,I Hope,13813
SZA,Snooze,71450
Lewis Capaldi,Someone You Loved,25102
Nicki Minaj & Ice Spice with Aqua,Barbie World,263230
AJR,Bang!,15498
Lewis Capaldi,Before You Go,43638
Kane Brown With Katelyn Brown,Thank God,205581
Lady Gaga & Ariana Grande,Rain On Me,32162
Fifty Fifty,Cupid,136786
Morgan Wallen,Sand In My Boots,114079
Jordan Davis & Luke Bryan,Buy Dirt,203101
Cole Swindell,She Had Me At Heads Carolina,199416
Miley Cyrus,Flowers,47217
Michael Buble,It's Beginning To Look A Lot Like Christmas,29774
Future & Drake & Tems,WAIT FOR U,168485
Metro Boomin, The Weeknd & 21 Savage,Creepin',84212
Jelly Roll,Need A Favor,241699
Cardi B & Megan Thee Stallion,WAP,273662
Nicki Minaj,Super Freaky Girl,70668
Justin Bieber,Ghost,80897
Beyonce,Cuff It,188884
Apache 207,Roller,218240
Bad Bunny & Chencho Corleone,Me porto bonito,179542
Internet Money & Gunna & Don Toliver & NAV,Lemonade,134038
SAINt JHN,Roses,8379
David Kushner,Daylight,276896
Lil Nas X,Thats What I Want,113804
DJ Ti.sto & Ava Max,The Motto,240723
Pop Smoke,What You Know Bout Love,249156
Morgan Wallen,Last Night,154298
Elton John & Dua Lipa,Cold Heart,80753
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,44071
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),185680
Cardi B & Megan Thee Stallion,WAP,66682
Nathan Evans,Wellerman,88266
Morgan Wallen,Thought You Should Know,50177
Doja Cat,Vegas,272241
Jordan Davis & Luke Bryan,Buy Dirt,58769
Doja Cat & The Weeknd,You Right,6833
Lil Mosey,Blueberry Faygo,64063
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),54401
Gunna,Fukumean,226765
The Kid LAROI,Without You,103775
Billie Eilish,Bad Guy,52308
Maroon 5,Memories,224578
Morgan Wallen,Thought You Should Know,85410
Taylor Swift,Lavender Haze,225879
Kenya Grace,Strangers,106829
Fifty Fifty,Cupid,199916
Morgan Wallen,Thinkin' Bout Me,134563
Jose Feliciano,Feliz Navidad,59780
Lewis Capaldi,Before You Go,233462
Zach Bryan & Kacey Musgraves,I Remember Everything,172587
Wham!,Last Christmas,10428
Joji,Glimpse Of Us,177869
Billie Eilish,What Was I Made For?,1365
Future & Drake,Life Is Good,146786
BTS,Dynamite,196068
Drake & Future & Young Thug,Way 2 Sexy,189104
Chris Brown,Under The Influence,127380
Olivia Rodrigo,Traitor,282944
DJ Ti.sto & Ava Max,The Motto,104754
Camila Cabello & Ed Sheeran,Bam Bam,258038
Topic & A7S,Breaking Me,191879
Tate McRae,Greedy,223830
OneRepublic,I Ain't Worried,143898
Cardi B & Megan Thee Stallion,WAP,294799
The Ronettes,Sleigh Ride,122245
Rema & Selena Gomez,Calm Down,36322
The Weeknd,Take My Breath,46427
Mariah Carey,All I Want For Christmas Is You,89550
Jose Feliciano,Feliz Navidad,135581
Gayle,abcdefu,202469
The Weeknd,Take My Breath,14820
Billie Eilish,Bad Guy,260246
Em Beihold,Numb Little Bug,244133
The Weeknd,Blinding Lights,27211
Dua Lipa,Don't Start Now,62381
Chris Brown,Under The Influence,118202
Billie Eilish,What Was I Made For?,17560
Post Malone & The Weeknd,One Right Now,276636
Chris Brown & Young Thug,Go Crazy,10141
Drake & Future & Young Thug,Way 2 Sexy,153401
Olivia Rodrigo,Traitor,138163
Nat King Cole,The Christmas Song (Merry Christmas To You),252214
Lady Gaga & Ariana Grande,Rain On Me,45745
Drake & Lil Durk,Laugh Now Cry Later,244804
Em Beihold,Numb Little Bug,58714
CJ,Whoopty,113171
Jordan Davis & Luke Bryan,Buy Dirt,222343
Justin Bieber & Chance The Rapper,Holy,249723
Gunna,Fukumean,134805
Lil Mosey,Blueberry Faygo,254891
Harry Styles,Watermelon Sugar,290634
Olivia Rodrigo,Good 4 U,158318
Future & Drake,Life Is Good,224751
Coldplay & BTS,My Universe,138887
Post Malone & The Weeknd,One Right Now,44871
Lost Frequencies & Calum Scott,Where Are You Now,263756
