artist,song_name,duration_ms,danceability,energy
Ariana Grande,Positions,214817,0.10184840810783558,0.6376228861841028
Joji,Glimpse Of Us,281738,0.6642068584098997,0.9461738843380311
Brenda Lee,Rockin' Around The Christmas Tree,122353,0.01609221934216598,0.0834614494955338
Doja Cat,Need To Know,117332,0.824617361962039,0.8423057092965059
Toosii,Favorite Song,245953,0.6779844003831371,0.935740529824498
Beyonce,Cuff It,172518,0.3502170279519975,0.37690061768669336
Raye & 070 Shake,Escapism,74533,0.1748362193596984,0.26097314579310327
Dua Lipa,Don't Start Now,216610,0.7824289912222802,0.2781181795763198
Rosa Linn,Snap,242604,0.14253550975469265,0.26574126618312055
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,138209,0.313807675713382,0.6767277556333731
Olivia Rodrigo,Good 4 U,62585,0.6399136214084014,0.14857690095862608
Gunna,Fukumean,120815,0.47427084106929684,0.4692650787350495
Coi Leray,Players,233387,0.5868042010029306,0.20037588225816538
Beyonce,Cuff It,180122,0.8245576394803975,0.32292386452668653
The Weeknd & Ariana Grande,Die For You,167799,0.20096043512367923,0.11275424525133515
DJ Ti.sto & Ava Max,The Motto,122689,0.5878829855947503,0.5106178453930582
Morgan Wallen,Thought You Should Know,93970,0.6882111709741325,0.06536240411377425
Topic & A7S,Breaking Me,155350,0.3495385176596626,0.8655420278203777
Rema,Calm Down,42075,0.9912122079225313,0.9321516446881944
Arizona Zervas,Roxanne,268395,0.09430999013027219,0.7577076790868863
Pop Smoke & Lil Baby & DaBaby,For The Night,159114,0.2527948851773272,0.6425677241757118
Lil Tjay & 6LACK,Calling My Phone,56017,0.04374556906064786,0.6611897542094181
Justin Bieber,Ghost,58261,0.9530145967587905,0.08162965475225947
Doja Cat & The Weeknd,You Right,166900,0.9414671048733498,0.270563777185966
Steve Lacy,Bad Habit,112535,0.7622371383940829,0.6393428883853811
Toosii,Favorite Song,126647,0.3638554368281268,0.46537313289493953
Dove Cameron,Boyfriend,249082,0.16410486421749304,0.9809670603731598
Walker Hayes,Fancy Like,72587,0.7567838413884452,0.4321455416441359
Tate McRae,She's All I Wanna Be,204631,0.13370735208226414,0.6650754450661257
Trevor Daniel,Falling,52415,0.2530896530878678,0.6535531762142224
AJR,Bang!,276507,0.196302592988702,0.37665628901019976
Doja Cat,Woman,262518,0.04461094743657412,0.5072657946963527
Ed Sheeran,Eyes Closed,268480,0.4462526569450024,0.4425248770906062
WizKid & Justin Bieber & Tems,Essence,181657,0.32635439669056854,0.23612886282486223
Nicky Youre & dazy,Sunroof,212323,0.9265660656263962,0.5708264387886153
Ava Max,Kings & Queens,109233,0.030689391438230462,0.7437497011326769
Pop Smoke & Lil Baby & DaBaby,For The Night,40291,0.9555672610703141,0.45590680482355406
Bailey Zimmerman,Rock And A Hard Place,228781,0.1938100162488543,0.41647191671227113
Doja Cat,Vegas,152539,0.5250138631274673,0.8918648937888268
Masked Wolf,Astronaut In The Ocean,233351,0.3897759375222317,0.7335704236378469
CKay,Love Nwantiti,284798,0.5047777478693699,0.8916954647117646
Beyonce,Cuff It,69221,0.06243128056942315,0.6229010720256797
Camila Cabello & Ed Sheeran,Bam Bam,177111,0.5182206424692508,0.5581325479834447
Harry Styles,Adore You,197935,0.2967839178114162,0.5014921909075073
Luke Combs,The Kind of Love We Make,36834,0.1143002175552611,0.4062290706990306
David Kushner,Daylight,51898,0.49073293141298746,0.3378796780967145
DaBaby & Roddy Ricch,Rockstar,28116,0.9174023997910972,0.06673656871610201
Walker Hayes,Fancy Like,128946,0.23117362524986562,0.2585695304499309
The Weeknd & Ariana Grande,Die For You,62067,0.5992034520383204,0.3348131690312366
The Weeknd,Take My Breath,171624,0.9539162704608654,0.1341016829588768
Lil Nas & Jack Harlow,Industry Baby,255768,0.13315963876850212,0.7399956046125659
Morgan Wallen,Wasted On You,298491,0.8045882377440934,0.24119597926343928
The Kid LAROI,Without You,193839,0.7534390791905986,0.4006775093013336
Adele,Easy On Me,262243,0.38016443907511255,0.7139911060009413
Olivia Rodrigo,Traitor,183939,0.35043796262374716,0.4125038186785158
Imagine Dragons & JID,Enemy,57279,0.5138278324481231,0.7417367375355711
Cole Swindell,She Had Me At Heads Carolina,244139,0.8104152236642563,0.6681993646254397
Trevor Daniel,Falling,235582,0.7354016709394552,0.16532274809768144
SAINt JHN,Roses (Imanbek Remix),117755,0.9379645108807351,0.06439182121433862
Walker Hayes,Fancy Like,77567,0.6531155723714186,0.6951478225107877
CKay,Love Nwantiti,168891,0.6856361983125856,0.4423934318142423
24kGoldn & Iann Dior,Mood,154638,0.769368634164256,0.7634538227784601
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,256591,0.7206318195499528,0.4440418889399964
Elton John & Dua Lipa,Cold Heart,47606,0.9592128546235421,0.4454256206181928
Dua Lipa,Break My Heart,7109,0.9093765624639825,0.7350384709238892
Bad Bunny,Titi me pregunto,247817,0.4239153105455984,0.3777793338508961
Miley Cyrus,Midnight Sky,159751,0.8397193411825651,0.4177362249540285
Saweetie & Doja Cat,Best Friend,169937,0.36371670783560384,0.7751054753325594
Doja Cat & Nicki Minaj,Say So,72127,0.5809471994822165,0.5371656886113213
Harry Styles,Adore You,172678,0.03241942212996274,0.6968024894944842
Bobby Helms,Jingle Bell Rock,81708,0.995795368676693,0.45305352550529643
Sam Smith & Kim Petras,Unholy,220876,0.9290358696342309,0.7476492944180742
Drake & 21 Savage,Rich Flex,142111,0.26029512329376303,0.007224251942325455
Billie Eilish,What Was I Made For?,203185,0.7984619806392956,0.5353981503977598
Drake & 21 Savage,Rich Flex,192689,0.6299105443630281,0.5330265459767993
Morgan Wallen,Thinkin' Bout Me,82548,0.4660812696613138,0.8835599258704698
Metro Boomin & The Weeknd & 21 Savage,Creepin',228851,0.3190303919295939,0.44565700543743747
Apache 207,Roller,141413,0.6691023332825224,0.34565884971270067
Sam Smith & Kim Petras,Unholy,282637,0.21823672875332467,0.42738785260290824
SZA,Snooze,199980,0.4879384082501682,0.5023985020817888
Dua Lipa,Break My Heart,152698,0.5260402279046531,0.47879383143844945
Internet Money & Gunna & Don Toliver & NAV,Lemonade,95082,0.9361057877512108,0.48866766836186826
DaBaby & Roddy Ricch,Rockstar,152652,0.37682050438191195,0.44901570160614923
CJ,Whoopty,23974,0.7558287241394289,0.40499274016862075
Dua Lipa & DaBaby,Levitating,81501,0.12363890452540338,0.9660039732246483
Oliver Tree & Robin Schulz,Miss You,261243,0.8513337312596211,0.37999787630809856
The Weeknd,Blinding Lights,43242,0.30126288917824817,0.9071642956103103
PinkPantheress & Ice Spice &Boy's A Liar,Pt. 2,129073,0.2730891196317602,0.18786689124724654
