artist,track_name,duration_ms,danceability,energy
Rema & Selena Gomez,Calm Down,91939,0.4179547686582652,0.2294346334287054
Wham!,Last Christmas,220485,0.19173495511902794,0.7575783446172412
Jelly Roll,Need A Favor,217441,0.0413732631692767,0.8817322876617789
Future & Drake & Tems,WAIT FOR U,93495,0.8312289973034426,0.46849490396756666
Ed Sheeran,Shivers,294388,0.41377854941236136,0.6331014204804548
The Kid LAROI & Justin Bieber,Stay,199315,0.09253437691322319,0.09278962780754241
Meghan Trainor,Made You Look,122464,0.3297898373610141,0.7658540592778071
Doja Cat,Vegas,202640,0.07845425441670062,0.5358686904167724
Lil Nas X,Montero (Call Me By Your Name),32649,0.2522338278586326,0.05817351570678431
Ed Sheeran,Shivers,179584,0.36395104518497046,0.44609396345380514
Joji,Glimpse Of Us,216319,0.6196151885728673,0.11717669989527302
DaBaby & Roddy Ricch,Rockstar,197127,0.8553124078647664,0.08511696107239031
Miley Cyrus,Flowers,67070,0.9175320572284185,0.4426879925321895
Kate Bush,Running Up That Hill (A Deal With God),285559,0.2652056403559546,0.20783588752859694
Lizzo,About Damn Time,289089,0.7630057310420121,0.05337775198783934
Olivia Rodrigo,Traitor,16123,0.7037594414408846,0.9806691342057577
24kGoldn & Iann Dior,Mood,227925,0.6947375796643,0.7562270106770315
Tate McRae,You Broke Me First,220011,0.7805474814947586,0.1876849028078179
Rihanna,Lift Me Up,203493,0.6200475117738012,0.04701480448561768
Maroon 5,Memories,143968,0.01516247053721187,0.5904480922509372
Lil Nas X,Montero (Call Me By Your Name),13557,0.9584540009618517,0.3482968186052503
Billie Eilish,Therefore I Am,7203,0.7676810162921787,0.7425483300404182
Nicky Youre & dazy,Sunroof,93934,0.8010180313389503,0.6410482617050358
Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,97886,0.9542185833137021,0.5210741525133605
Doja Cat,Vegas,252707,0.9959420020393586,0.46628823596404456
Jose Feliciano,Feliz Navidad,42499,0.19418106027854065,0.5698311823746323
Chris Brown,Under The Influence,132583,0.8338505661095515,0.7959256915788353
Gabby Barrett & Charlie Puth,I Hope,197906,0.6558354700544651,0.7966817788372068
Lil Nas X,Thats What I Want,45263,0.16579133182510142,0.8086461288061598
Acraze & Cherish,Do It To It,102732,0.5637373871955912,0.07467702770977724
Justin Bieber & Daniel Caesar & Giveon,Peaches,7300,0.5839213818271255,0.7525281446256219
Kelly Clarkson,Underneath The Tree,236131,0.964150846243874,0.5833760774747382
Pop Smoke & Lil Baby & DaBaby,For The Night,224745,0.08737160470416472,0.2339864067692331
Machine Gun Kelly & BLACKBEAR,My Ex's Best Friend,70301,0.25837264909262303,0.8309254568698737
Post Malone,Circles,128848,0.12958792655486195,0.2821205834276155
Farruko,Pepas,21329,0.9799746819709152,0.5670941858539807
Kenya Grace,Strangers,222966,0.15320156304989063,0.16306890406361552
Tate McRae,Greedy,113544,0.9844123689962074,0.7115269341930066
Shouse,Love Tonight,222394,0.5038037724096656,0.0894992353999765
Lizzo,About Damn Time,255884,0.3704888390465815,0.48429497333986815
Lil Mosey,Blueberry Faygo,195697,0.7243728625781279,0.029732806490028074
Harry Styles,Late Night Talking,236396,0.7645239137341734,0.6320827181891333
Luke Combs,The Kind of Love We Make,267723,0.37737108419333365,0.2533785980157217
Metro Boomin, The Weeknd & 21 Savage,Creepin',140201,0.3064737595274869,0.1655055921672527
Nat King Cole,The Christmas Song (Merry Christmas To You),213798,0.9668855080714155,0.8072256292682112
Billie Eilish,everything i wanted,114818,0.4421674131441168,0.4744391755177829
Miley Cyrus,Midnight Sky,238159,0.19719780589005642,0.5113478514037303
The Weeknd,Blinding Lights,195896,0.1863202224101016,0.91183695068286
Rema,Calm Down,125213,0.5232129315755283,0.34291296441079944
Post Malone,Chemical,167552,0.9479965013542773,0.18565927862253562
Lewis Capaldi,Someone You Loved,151730,0.7757366477335152,0.5106097278435544
Billie Eilish,Therefore I Am,67940,0.5303749988354459,0.02072423541919144
Shouse,Love Tonight,56727,0.8294234002383809,0.702680073129912
Post Malone,Circles,194170,0.4327715647899646,0.10088074441306938
Maroon 5,Memories,27445,0.17697986410037492,0.545806221972775
Em Beihold,Numb Little Bug,140145,0.1780824163506325,0.9325263600523861
Arizona Zervas,Roxanne,74717,0.9323139076645768,0.9764905155431709
Doja Cat,Woman,119475,0.3291371823508149,0.757566123708844
Justin Bieber & Daniel Caesar & Giveon,Peaches,297410,0.8899148129761428,0.762803773413148
Bad Bunny & Chencho Corleone,Me porto bonito,174102,0.6877051750978214,0.10472898584698564
Maren Morris,The Bones,90637,0.8093561932079704,0.40570289681053573
Doja Cat,Paint The Town Red,164842,0.08866140266523348,0.1514184521940698
Camila Cabello & Ed Sheeran,Bam Bam,136764,0.16454401972633226,0.4828514910096722
Surf Mesa & Emilee,ILY (I Love You Baby),95528,0.5471533105004358,0.20385254050730317
Harry Styles,Late Night Talking,279921,0.4694925995578626,0.4236913571220384
DJ Ti.sto,The Business,20280,0.9720242125675604,0.46791514354084784
Lil Uzi Vert,Just Wanna Rock,203200,0.9279397077741701,0.4771134758666269
Beyonce,Break My Soul,107658,0.1054287542225747,0.12813327294780674
Tones & I,Dance Monkey,217517,0.19563090427494056,0.09426649231932749
Topic & A7S,Breaking Me,164313,0.6959670573263018,0.7532107634897423
Post Malone,Circles,131026,0.6288560135303088,0.7006111119238672
Drake & 21 Savage,Rich Flex,197431,0.9110739283255209,0.6560234543273614
Harry Styles,Late Night Talking,106853,0.12271577896836738,0.04368915351621305
Libianca,People,119310,0.5355554146963105,0.4342191960772783
Ed Sheeran,Shivers,168120,0.3097850399224935,0.4468360122523529
Morgan Wallen,Thinkin' Bout Me,221851,0.6839960528919492,0.7663815874939357
Olivia Rodrigo,Good 4 U,22577,0.4828378935887846,0.6099273101082108
Walker Hayes,Fancy Like,245273,0.22303748530105239,0.44846415489468094
Gabby Barrett & Charlie Puth,I Hope,195646,0.48706798653743344,0.36679067588166625
Dua Lipa,Break My Heart,249038,0.9284225995369823,0.2534600061869331
