track_name,ms_played,genres
We Belong Together,145229
Human,90903
There's Nothing Holdin' Me Back,128380
Fancy,259123
Snooze,21186
What Do You Mean?,154146
Big Girls Don't Cry (Personal),93846
When I'm Gone,281556
Moves Like Jagger,1080
Low,92994
Rich Flex,261759
Cheerleader,266967
What Would You Do?,251195
Holy,200061
Let Me Love You,9837
Hot In Herre,299394
Cheerleader,4262
Miss You,289211
Vampire,215637
Greedy,206938
How We Do,175225
golden hour,290596
Dynamite,243503
Heat Waves,290888
Rockstar,20962
Faded,53246
Beverly Hills,102522
"Whenever, Wherever",163737
Someone You Loved,85293
Bring Me To Life,91214
Tipsy,92203
golden hour,65136
"Thank U, Next",38977
Savage Love (Laxed - Siren Beat),279050
Hot 'n' cold,30363
Shake Ya Tailfeather,48102
Bad Guy,85424
Enemy,172752
Kings & Queens,29211
Tik-Toc,60009
Someone You Loved,247603
abcdefu,140908
Hit 'em Up Style (Oops!),67539
Happier,124885
Running Up That Hill (A Deal With God),198562
Safe And Sound,223342
Behind These Hazel Eyes,27263
Life Is Good,74429
Montero (Call Me By Your Name),42630
Hot 'n' cold,172448
Starships,294233
The Motto,199984
Switch,146299
I Remember Everything,218631
Sorry,204427
Meant To Be,51301
Ella Baila Sola,193487
Thunder,295770
Dakiti,261162
The Box,132662
Dynamite,170532
If I Ain't Got You,157732
Ms Jackson,32989
You Broke Me First,164339
Feel It Still,267786
Beverly Hills,123508
Toosie Slide,224893
Heaven,14195
Hot 'n' cold,147453
Kryptonite,93531
Dynamite,35387
Fill Me In,154390
Doesn't Really Matter,182757
Despacito,247772
The Christmas Song (Merry Christmas To You),163698
What Would You Do?,48487
The Bones,132168
Cheap Thrills,53282
Sicko Mode,261870
Wellerman,145453
Unwritten,101059
It's Beginning To Look A Lot Like Christmas,163954
Last Night,220243
Say It Right,233983
Ghost,41447
We Don't Talk About Bruno,203978
Unforgettable,112354
Candy Shop,56604
I Try,83563
Running Up That Hill (A Deal With God),298792
Adore You,47752
Cake By The Ocean,61900
Higher,277277
24K Magic,11155
Thinkin' Bout Me,188973
Anti-Hero,185438
Miss You,30039
Without You,275576
Without You,43186
Titi me pregunto,244769
Uptown Funk,77164
Bad Guy,34636
Unforgettable,83147
Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),288924
The Way I Are,68022
You're Beautiful,43835
Without You,138844
Better Now,211999
Essence,228512
Here Without You,175096
So What,75628
Shape Of You,177524
Buttons,172846
Hit 'em Up Style (Oops!),105457
Pepas,249812
Big Energy,235054
"Hey, Soul Sister",214933
Angel,238644
Gangnam Style,151422
Kryptonite,213978
Before He Cheats,51270
Lavender Haze,127588
Until I Found You,80275
This Girl,107383
Sicko Mode,48755
U Remind Me,73279
Enemy,148558
Payphone,272780
That's What I Like,38602
Calling My Phone,49387
Riptide,8109
A Holly Jolly Christmas,257257
Super Freaky Girl,57146
Unwell,204497
Laugh Now Cry Later,143158
Stressed Out,106961
Thank God,276477
Stay,187946
Best Friend,215946
Lucid Dreams (Forget Me),236449
Let Me Love You,15342
Titi me pregunto,276536
Some Nights,282626
Tik-Toc,90927
If You're Gone,257422
Ignition,198054
Work,131449
Mercy,242703
Ghost,233468
Vegas,165234
It's Gonna Be Me,145088
Paradise,87505
Can't Fight The Moonlight,120807
Creepin',47148
Drops Of Jupiter (Tell Me),215050
Butter,121827
everything i wanted,49851
Incomplete,162756
Payphone,127587
Cruel Summer,187621
Moves Like Jagger,231443
Lemonade,26534
Most Girls,64913
My Humps,150512
Need To Know,248208
My Boo,203662
My Love,59099
Run It,247666
The Game Of Love,103815
Can't Get You Out Of My Head,18832
Where Are U Now,235626
I Don't Wanna Live Forever (Fifty Shades Darker),235529
Castle On The Hill,120768
What Do You Mean?,172440
What's Luv?,168458
Heartbreak Anniversary,68036
Because Of You,88826
Believer,125764
This Is What You Came For,264885
The Way You Love Me,265754
Pepas,24481
I Knew You Were Trouble,285240
Where Are You Now,135816
Hotline Bling,222246
Wasted On You,278143
Under The Influence,37015
Up,224537
There's Nothing Holdin' Me Back,131875
SexyBack,284303
Bad Habits,148795
Breathe,4085
Boulevard Of Broken Dreams,147311
Paradise,219044
Without You,35676
Eastside,231216
Bad Habits,144207
Most Girls,30220
Heat Waves,250619
U Remind Me,256106
Watermelon Sugar,241907
Cupid,246853
You & Me,153171
Forever After All,275882
Barbie World,149852
Thinkin' Bout Me,209171
Sad!,163504
The Sweet Escape,28097
The Wild Ones,163628
Love Me Like You Do,191935
Stand Up,259785
7 Rings,285902
Baby Boy,274867
Sugar We're Goin Down,11592
Last Night,4163
Calm Down,212566
You & Me,31752
Enemy,259099
WAIT FOR U,121113
Strangers,60887
Hit 'em Up Style (Oops!),183413
One Right Now,177038
Happier,37489
Best Friend,188818
Shut Up & Dance,297041
